id,election_id,upper_tier,lower_tier,current_council,election_date,year,ward_id,ward_name,candidate,party,vote,female,vacancies,electorate,ballots_cast,turnout,vote_share,source,notes
new_0001,1945new1001,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1001,Armstrong,McLoughlin F.,LAB,0,0,2,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0002,1945new1001,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1001,Armstrong,Brunston W.,LAB,0,0,2,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0003,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Temple W.,Prog,3071,0,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0004,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Frame A.,Prog,2924,0,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0005,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Fitzpatrick D.,Prog,2867,1,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0006,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Short W.,LAB,1922,0,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0007,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Youll J.,LAB,1834,0,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0008,1945new1002,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1002,Arthurs Hill,Benn W.,LAB,1694,0,3,11670,0,43.3,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0009,1945new1003,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1003,Benwell,Jacobsen G.,LAB,0,0,2,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0010,1945new1003,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1003,Benwell,Robson G.,LAB,0,1,2,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0011,1945new1004,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1004,Byker,Simm H.,LAB,2595,0,1,9699,3533,36.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0012,1945new1004,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1004,Byker,Maguire P.,Prog,938,0,1,9699,3533,36.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0013,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,McKeag W.,Prog,2718,0,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0014,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,Pugh T.,Prog,2476,0,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0015,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,Shawcross M.,Prog,2432,0,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0016,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,Bruce W.,LAB,1401,0,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0017,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,Anderson M.,LAB,1314,1,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0018,1945new1005,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1005,Dene,Welsh F.,LAB,1287,0,3,9224,0,43.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0019,1945new1006,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1006,Elswick,McAthey J.,LAB,2744,0,2,10639,0,43.2,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0020,1945new1006,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1006,Elswick,Laraman G.,LAB,2659,0,2,10639,0,43.2,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0021,1945new1006,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1006,Elswick,Graham R.,Prog,1793,0,2,10639,0,43.2,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0022,1945new1006,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1006,Elswick,Howell A.,Prog,1730,0,2,10639,0,43.2,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
new_0023,1945new1007,Newcastle Upon Tyne,Newcastle Upon Tyne,Newcastle Upon Tyne,,1945,new1007,Fenham,Edwards P.,Prog,2544,0,1,9683,4305,44.5,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
